"ts_code","trade_date","close","open","high","low","pre_close","change","pct_chg","vol","amount"
"000045.SH","20221202","4851.5407","4865.3815","4879.4255","4839.6303","4873.663","-22.1223","-0.4539","72540549","80947104.051"
"000045.SH","20221201","4873.663","4888.7289","4904.3244","4872.8865","4848.9355","24.7275","0.51","91828167","102087677.126"
"000045.SH","20221130","4848.9355","4840.8137","4858.1534","4818.6406","4846.1718","2.7637","0.057","95022109","91497170.307"
"000045.SH","20221129","4846.1718","4788.0958","4853.6379","4783.7479","4776.5296","69.6422","1.458","96080088","92456933.081"
"000045.SH","20221128","4776.5296","4730.0554","4778.0501","4710.8413","4798.7601","-22.2305","-0.4633","75751991","72706927.098"
"000045.SH","20221125","4798.7601","4797.3085","4812.334","4776.0374","4813.8871","-15.127","-0.3142","73354546","68532036.603"
"000045.SH","20221124","4813.8871","4811.789","4827.0401","4801.1323","4806.3327","7.5544","0.1572","65716585","69588581.11"
"000045.SH","20221123","4806.3327","4796.4964","4822.6541","4749.8138","4804.0489","2.2838","0.0475","77779441","78960743.024"
"000045.SH","20221122","4804.0489","4818.5848","4854.8109","4786.6951","4824.1544","-20.1055","-0.4168","78108439","84315288.707"
"000045.SH","20221121","4824.1544","4791.6459","4824.5283","4767.5273","4823.2999","0.8545","0.0177","66492715","79816279.358"
"000045.SH","20221118","4823.2999","4854.5169","4869.7045","4816.3966","4856.085","-32.7851","-0.6751","78521004","91977248.669"
"000045.SH","20221117","4856.085","4837.5333","4856.085","4803.928","4855.7525","0.3325","0.0068","75772498","88410110.058"
"000045.SH","20221116","4855.7525","4876.5351","4904.1196","4845.6214","4876.0057","-20.2532","-0.4154","80408499","86952445.514"
"000045.SH","20221115","4876.0057","4788.9188","4876.0057","4779.1033","4792.5898","83.4159","1.7405","87914945","99335146.835"
"000045.SH","20221114","4792.5898","4812.7795","4846.4483","4775.9969","4810.4474","-17.8576","-0.3712","95428152","103967193.468"
"000045.SH","20221111","4810.4474","4851.8179","4873.8446","4796.7736","4755.9292","54.5182","1.1463","100966382","110555620.543"
"000045.SH","20221110","4755.9292","4759.4349","4784.093","4741.6287","4789.2943","-33.3651","-0.6967","66190148","73533882.969"
"000045.SH","20221109","4789.2943","4816.4269","4842.1263","4789.2943","4810.098","-20.8037","-0.4325","62339109","73987632.573"
"000045.SH","20221108","4810.098","4828.4884","4828.7393","4781.8001","4833.2184","-23.1204","-0.4784","71507120","81499688.724"
"000045.SH","20221107","4833.2184","4835.3704","4854.6932","4797.7316","4834.9233","-1.7049","-0.0353","88417798","101203739.203"
"000045.SH","20221104","4834.9233","4727.5552","4849.5223","4727.5552","4723.8737","111.0496","2.3508","90108695","106433633.134"
"000045.SH","20221103","4723.8737","4676.9604","4733.8915","4669.8961","4713.3823","10.4914","0.2226","69081916","88712128.355"
"000045.SH","20221102","4713.3823","4641.3251","4734.1517","4634.6955","4652.5844","60.7979","1.3068","91725301","106940168.773"
"000045.SH","20221101","4652.5844","4565.7315","4652.9963","4547.3897","4564.9179","87.6665","1.9204","88283383","96063466.59"
"000045.SH","20221031","4564.9179","4527.1756","4610.5883","4526.3514","4564.8322","0.0857","0.0019","82741922","92003116.302"
"000045.SH","20221028","4564.8322","4663.9173","4680.881","4549.9886","4691.4662","-126.634","-2.6992","79675116","87339696.579"
"000045.SH","20221027","4691.4662","4711.7694","4737.3739","4690.9149","4709.2166","-17.7504","-0.3769","69416143","84558517.758"
